05:33:30  |  Core  |  Info  |  destroy layer 'Pointer'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Fade'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  destroy layer 'Statistic'  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  191
05:33:30  |  Core  |  Info  |  LayerManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  59
05:33:30  |  Core  |  Info  |  * Shutdown: FontManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  49
05:33:30  |  Core  |  Info  |  FontManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
05:33:30  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  47
05:33:30  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  56
05:33:30  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  46
05:33:30  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  54
05:33:30  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  42
05:33:30  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  49
05:33:30  |  Core  |  Info  |  * Shutdown: PluginManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  41
05:33:30  |  Core  |  Info  |  PluginManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  46
05:33:30  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  37
05:33:30  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  44
05:33:30  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
05:33:30  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
05:33:30  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  47
05:33:30  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  57
05:33:30  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  34
05:33:30  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  36
05:33:30  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  52
05:33:30  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  57
05:33:30  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  91
05:33:30  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  100
05:33:30  |  Core  |  Info  |  Gui successfully shutdown  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  179
05:33:30  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  78
05:33:30  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  86
05:33:30  |  Platform  |  Info  |  * Shutdown: DataManager  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  42
05:33:30  |  Platform  |  Info  |  DataManager successfully shutdown  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  44
